name,title,description,datatype,required
service_id,Ідентифікатор,Ідентифікатор винятку в графіку руху може складатися з довільної комбінації цифр та літер. Наприклад: independence-day. Також ідентифікатором винятку може бути ідентифікатор тижневого графіка роботи маршруту з таблиці calendar (колонка service_id).,string,true
date,Дата,Дата винятку у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-08-24.,date,true
exception_type,Тип винятку,"Тип винятку визначає, чи працює маршрут у дату, що зазначена в колонці date. Для цього використовуються такі коди: 1 — перевезення відбуваються; 2 — перевезення не відбуваються.",string,true
