name,title,description,datatype,required
identifierURDRBF,Код у ЄРРОБК,"П’ятизначний код розпорядника або одержувача бюджетних коштів у Єдиному реєстрі 
розпорядників та одержувачів бюджетних коштів (ЄРРОБК). Наприклад: 98765.",string,true
identifier,Код ЄДРПОУ,Код ЄДРПОУ розпорядника або одержувача. Наприклад: 01234567.,string,true
name,Найменування,Найменування установи або організації. Наприклад: Департамент містобудування та архітектури.,string,true
level,Рівень,"Рівень розпорядника або одержувача бюджетних коштів може мати одне зі значень (лише число): 1 — головний розпорядник; 2 — розпорядники нижчого рівня, що мають власну мережу; 3 — бюджетні установи, що не мають мережі; 9 — одержувачі. Наприклад: 2.",integer,true
parentIdentifierURDRBF,Розпорядник вищого рівня,"Код розпорядника бюджетних коштів вищого рівня в Єдиному реєстрі 
розпорядників та одержувачів бюджетних коштів. Наприклад: 98765.",string,true
treasuryIdentifier,Ідентифікатор органу ДКСУ,Код органу Державної казначейської служби України (ДСКУ) відповідно до класифікатора. Наприклад: 52.,string,true
treasuryName,Найменування органу ДКСУ,Найменування органу Державної казначейської служби. Наприклад: УДКСУ у м. Івано-Франківську.,string,true
executantIdentifierURDRBF,Код відповідального виконавця,"Код відповідального виконавця бюджетних програм у Єдиному реєстрі 
розпорядників та одержувачів бюджетних коштів. Наприклад: 98765.",string,true
